Insert a new allele: display_name=yhc3-R293C
Insert a new allele: display_name=yhc3-V289F
Insert a new allele: display_name=yhc3-R293H
Insert a new allele: display_name=yhc3-L44P
Insert a new allele: display_name=yhc3-L112P
Insert a new allele: display_name=yhc3-E243K
Insert a new phenotypeannotation: dbentity_id=1268541 reference_id=501951 phenotype_id=1355369 experiment_id=169844 mutant_id=169827
Insert a new phenotypeannotation: dbentity_id=1268541 reference_id=501951 phenotype_id=1355671 experiment_id=169844 mutant_id=169827
Insert a new phenotypeannotation: dbentity_id=1268541 reference_id=501951 phenotype_id=1355216 experiment_id=169844 mutant_id=169827
Insert a new phenotypeannotation: dbentity_id=1268541 reference_id=501951 phenotype_id=1355704 experiment_id=169844 mutant_id=169827
Insert a new phenotypeannotation: dbentity_id=1287022 reference_id=563773 phenotype_id=1355304 experiment_id=169844 mutant_id=169827
Insert a new phenotypeannotation: dbentity_id=1287022 reference_id=563773 phenotype_id=1355507 experiment_id=169844 mutant_id=169828
Insert a new phenotypeannotation: dbentity_id=1287022 reference_id=563773 phenotype_id=1355256 experiment_id=169844 mutant_id=169828
Insert a new allele: display_name=dbf4-6
Insert a new phenotypeannotation: dbentity_id=1267053 reference_id=613082 phenotype_id=1355220 experiment_id=169844 mutant_id=169830
Insert a new phenotypeannotation: dbentity_id=1269436 reference_id=613082 phenotype_id=1355211 experiment_id=169844 mutant_id=169830
Insert a new phenotypeannotation: dbentity_id=1269436 reference_id=613082 phenotype_id=1355312 experiment_id=169844 mutant_id=169830
Insert a new phenotypeannotation: dbentity_id=1267053 reference_id=613082 phenotype_id=1355316 experiment_id=169844 mutant_id=169830
Insert a new phenotypeannotation: dbentity_id=1269436 reference_id=600380 phenotype_id=1355218 experiment_id=169844 mutant_id=169830
Insert a new phenotypeannotation: dbentity_id=1269436 reference_id=600380 phenotype_id=1355211 experiment_id=169844 mutant_id=169830
Insert a new allele: display_name=uso1-1
Insert a new reporter: display_name=Grh1p
